Unnamed: 0,Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Customer Reviews
700,Tecno Camon iTwin,Tecno,Camon iTwin,4000,6.0,Yes,720,1440,4,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,8990,"Excellent performance, worth the price."
701,Vivo Y71i,Vivo,Y71i,3285,6.0,Yes,720,1440,4,2000,16.0,8.0,5.0,Android,No,Yes,No,1,No,No,7500,"Great battery life, perfect for gaming."
702,Alcatel 5V,Alcatel,5V,4000,6.2,Yes,720,1500,8,3000,32.0,12.0,8.0,Android,Yes,Yes,Yes,1,No,No,12999,"Amazing camera quality, a bit expensive."
703,Intex Infie 33,Intex,Infie 33,3000,5.34,Yes,480,960,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,3499,"Good value for money, smooth performance."
704,Intex Infie 3,Intex,Infie 3,2000,4.95,Yes,480,960,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,3450,"Battery could be better, decent overall."
705,Oppo A3s,Oppo,A3s,4230,6.2,Yes,720,1520,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,No,No,7450,Highly recommend for photography lovers.
706,Oppo A5,Oppo,A5,4230,6.2,Yes,720,1520,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,8990,"Affordable and reliable, good screen quality."
707,Vivo Z10,Vivo,Z10,3225,6.0,Yes,720,1440,8,4000,32.0,16.0,24.0,Android,Yes,Yes,Yes,1,No,No,7994,"Sleek design, average battery life."
708,Samsung Galaxy On6,Samsung,Galaxy On6,3000,5.6,Yes,720,1480,8,4000,64.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,17600,"Perfect for everyday use, budget-friendly."
709,Alcatel 1,Alcatel,1,2000,5.0,Yes,480,960,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,3499,"Premium quality, outstanding features."
710,Vivo Y81,Vivo,Y81,3260,6.22,Yes,720,1520,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,9790,"Excellent performance, worth the price."
711,Panasonic P90,Panasonic,P90,2400,5.0,Yes,720,1280,4,1000,16.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,3899,"Great battery life, perfect for gaming."
712,Lephone Dazen 6A,Lephone,Dazen 6A,3000,5.7,Yes,720,1440,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,1,No,No,7900,"Amazing camera quality, a bit expensive."
713,Comio C1 Pro,Comio,C1 Pro,2500,5.0,Yes,720,1440,4,1000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,6499,"Good value for money, smooth performance."
714,iVoomi V5,iVoomi,V5,2800,5.0,Yes,480,854,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,2999,"Battery could be better, decent overall."
715,LG Q Stylus+,LG,Q Stylus+,3300,6.2,Yes,1080,2160,8,4000,64.0,16.0,5.0,Android,Yes,Yes,Yes,1,No,No,16999,Highly recommend for photography lovers.
716,LG Q Stylus,LG,Q Stylus,3300,6.2,Yes,1080,2160,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,No,No,14999,"Affordable and reliable, good screen quality."
717,Lenovo A5,Lenovo,A5,4000,5.45,Yes,720,1440,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,5300,"Sleek design, average battery life."
718,Nokia 3.1,Nokia,3.1,2990,5.2,Yes,720,1440,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,No,No,5994,"Perfect for everyday use, budget-friendly."
719,Aqua Jazz,Aqua,Jazz,2800,5.0,Yes,720,1280,4,1000,16.0,13.0,5.0,Android,Yes,Yes,No,1,No,No,4599,"Premium quality, outstanding features."
720,Vivo Y83,Vivo,Y83,3260,6.22,Yes,720,1520,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,10399,"Excellent performance, worth the price."
721,BlackBerry KEY2,BlackBerry,KEY2,3500,4.5,Yes,1080,1620,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,19994,"Great battery life, perfect for gaming."
722,Mobiistar CQ,Mobiistar,CQ,3000,5.0,Yes,720,1280,4,2000,16.0,8.0,13.0,Android,Yes,Yes,No,2,Yes,Yes,4294,"Amazing camera quality, a bit expensive."
723,Micromax Bharat Go,Micromax,Bharat Go,2000,4.5,Yes,480,854,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,3789,"Good value for money, smooth performance."
724,iVoomi i2,iVoomi,i2,4000,5.45,Yes,720,1440,4,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,No,Yes,4299,"Battery could be better, decent overall."
725,LG Q7+,LG,Q7+,3000,5.5,Yes,1080,2160,8,4000,64.0,16.0,5.0,Android,Yes,Yes,Yes,1,No,No,11849,Highly recommend for photography lovers.
726,LG Q7,LG,Q7,3000,5.5,Yes,1080,2160,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,1,No,No,8875,"Affordable and reliable, good screen quality."
727,HTC U12+,HTC,U12+,3500,6.0,Yes,1440,2880,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,74990,"Sleek design, average battery life."
728,Nokia X6,Nokia,X6,3060,5.8,Yes,1080,2280,8,4000,32.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,6999,"Perfect for everyday use, budget-friendly."
729,Kult Impulse,Kult,Impulse,4000,5.99,Yes,720,1440,4,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,No,No,4378,"Premium quality, outstanding features."
730,Samsung Galaxy J4,Samsung,Galaxy J4,3000,5.5,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,6924,"Excellent performance, worth the price."
731,Karbonn Frames S9,Karbonn,Frames S9,2900,5.2,Yes,720,1280,4,2000,16.0,8.0,8.0,Android,Yes,Yes,Yes,2,No,No,6999,"Great battery life, perfect for gaming."
732,Intex Staari 10,Intex,Staari 10,2800,5.2,Yes,720,1280,4,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,4999,"Amazing camera quality, a bit expensive."
733,Panasonic P95,Panasonic,P95,2300,5.0,Yes,720,1280,4,1000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,No,No,3675,"Good value for money, smooth performance."
734,LG G7 ThinQ,LG,G7 ThinQ,3000,6.1,Yes,1440,3120,8,4000,64.0,16.0,8.0,Android,Yes,Yes,Yes,2,No,No,35999,"Battery could be better, decent overall."
735,Samsung Galaxy A6,Samsung,Galaxy A6,3000,5.6,Yes,720,1480,8,4000,32.0,16.0,16.0,Android,Yes,Yes,Yes,1,No,No,12999,Highly recommend for photography lovers.
736,Samsung Galaxy J2 (2018),Samsung,Galaxy J2 (2018),2600,5.0,Yes,540,960,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,6799,"Affordable and reliable, good screen quality."
737,Vivo Y53i,Vivo,Y53i,2500,5.0,Yes,540,960,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,7706,"Sleek design, average battery life."
738,Vivo V9 Youth,Vivo,V9 Youth,3260,6.3,Yes,1080,2280,8,4000,32.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,8990,"Perfect for everyday use, budget-friendly."
739,Moto E5,Motorola,Moto E5,4000,5.7,Yes,720,1440,4,2000,16.0,13.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,7950,"Premium quality, outstanding features."
740,Vivo Y71,Vivo,Y71,3360,6.0,Yes,720,1440,4,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,8500,"Excellent performance, worth the price."
741,Coolpad A1,Coolpad,A1,2500,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,No,1,No,No,4590,"Great battery life, perfect for gaming."
742,Samsung Galaxy J7 Duo,Samsung,Galaxy J7 Duo,3000,5.5,Yes,720,1280,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,No,No,10640,"Amazing camera quality, a bit expensive."
743,Honor 7A,Honor,7A,3000,5.7,Yes,720,1440,8,2000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,6999,"Good value for money, smooth performance."
744,Lava Z91,Lava,Z91,3000,5.7,Yes,720,1440,4,2000,16.0,13.0,8.0,Android,No,No,No,2,No,No,7999,"Battery could be better, decent overall."
745,Oppo A83 (2018),Oppo,A83 (2018),3180,5.7,Yes,720,1440,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,9490,Highly recommend for photography lovers.
746,LG K9,LG,K9,2500,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,6299,"Affordable and reliable, good screen quality."
747,Samsung Galaxy J7 Prime 2,Samsung,Galaxy J7 Prime 2,3300,5.5,Yes,1080,1920,8,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,10500,"Sleek design, average battery life."
748,Intex Aqua Lions E3,Intex,Aqua Lions E3,2500,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,No,No,3999,"Perfect for everyday use, budget-friendly."
749,Itel A44 Pro,Itel,A44 Pro,2400,5.45,Yes,720,1440,4,2000,16.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,3890,"Premium quality, outstanding features."
750,Itel A44,Itel,A44,2400,5.45,Yes,480,960,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,6600,"Excellent performance, worth the price."
751,Moto G6 Plus,Motorola,Moto G6 Plus,3200,5.93,Yes,1080,2160,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,12900,"Great battery life, perfect for gaming."
752,Lava Z50,Lava,Z50,2000,4.5,Yes,480,854,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,4540,"Amazing camera quality, a bit expensive."
753,Sony Xperia XZ2,Sony,Xperia XZ2,3180,5.7,Yes,1080,2160,8,4000,64.0,19.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,57900,"Good value for money, smooth performance."
754,Nokia 8110 4G,Nokia,8110 4G,1500,2.45,No,240,320,2,512,4.0,2.0,0.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,2999,"Battery could be better, decent overall."
755,Alcatel 3V,Alcatel,3V,3000,6.0,Yes,1080,2160,4,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,10999,Highly recommend for photography lovers.
756,Alcatel 3X,Alcatel,3X,3000,5.7,Yes,720,1440,4,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,9999,"Affordable and reliable, good screen quality."
757,Cat S61,Cat,S61,4500,5.2,Yes,1080,1920,8,4000,64.0,16.0,8.0,Android,Yes,Yes,No,1,No,No,67900,"Sleek design, average battery life."
758,Karbonn Titanium Jumbo 2,Karbonn,Titanium Jumbo 2,4000,5.5,Yes,720,1280,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,8226,"Perfect for everyday use, budget-friendly."
759,Celkon UniQ,Celkon,UniQ,2700,5.0,Yes,720,1280,4,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,7249,"Premium quality, outstanding features."
760,Comio C2 Lite,Comio,C2 Lite,3900,5.0,Yes,720,1280,4,1000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,5999,"Excellent performance, worth the price."
761,Comio S1 Lite,Comio,S1 Lite,3050,5.0,Yes,720,1280,4,2000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,5399,"Great battery life, perfect for gaming."
762,Ziox Duopix F9,Ziox,Duopix F9,2500,5.0,Yes,720,1280,4,1000,16.0,8.0,8.0,Android,Yes,Yes,Yes,1,No,No,3599,"Amazing camera quality, a bit expensive."
763,Intex Aqua Lions T1 Lite,Intex,Aqua Lions T1 Lite,2200,5.0,Yes,720,1280,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,1,No,No,3799,"Good value for money, smooth performance."
764,Panasonic P100,Panasonic,P100,2200,5.0,Yes,720,1280,4,1000,16.0,8.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,4499,"Battery could be better, decent overall."
765,InFocus A2,InFocus,A2,2400,5.0,Yes,720,1280,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,1,No,No,3899,Highly recommend for photography lovers.
766,Oppo A71 (2018),Oppo,A71 (2018),3000,5.2,Yes,720,1280,8,3000,16.0,13.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,7999,"Affordable and reliable, good screen quality."
767,Vivo Y53,Vivo,Y53,2500,5.0,Yes,540,960,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,8490,"Sleek design, average battery life."
768,Ziox Astra Star,Ziox,Astra Star,2350,5.0,Yes,480,854,4,1000,16.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,3799,"Perfect for everyday use, budget-friendly."
769,HTC U11 EYEs,HTC,U11 EYEs,3930,6.0,Yes,1080,2160,8,4000,64.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,19999,"Premium quality, outstanding features."
770,Karbonn Titanium Frames S7,Karbonn,Titanium Frames S7,3000,5.5,Yes,1080,1920,4,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,4799,"Excellent performance, worth the price."
771,iVoomi i1s,iVoomi,i1s,3000,5.45,Yes,640,1280,4,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,4999,"Great battery life, perfect for gaming."
772,Sony Xperia L2,Sony,Xperia L2,3300,5.5,Yes,720,1280,4,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,73300,"Amazing camera quality, a bit expensive."
773,Sony Xperia XA2 Ultra,Sony,Xperia XA2 Ultra,3580,6.0,Yes,1080,1920,8,4000,32.0,23.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,74164,"Good value for money, smooth performance."
774,Micromax Bharat 5 Plus,Micromax,Bharat 5 Plus,5000,5.2,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,1,No,No,4470,"Battery could be better, decent overall."
775,Gionee S10 Lite,Gionee,S10 Lite,3100,5.2,Yes,720,1280,4,4000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,6290,Highly recommend for photography lovers.
776,Ziox Duopix R1,Ziox,Duopix R1,2600,5.0,Yes,720,1280,4,1000,8.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,3199,"Affordable and reliable, good screen quality."
777,Celkon Star 4G+,Celkon,Star 4G+,1800,4.0,Yes,480,800,4,512,4.0,3.2,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,2999,"Sleek design, average battery life."
778,Karbonn K9 Music 4G,Karbonn,K9 Music 4G,2200,5.0,Yes,480,854,4,1000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,4190,"Perfect for everyday use, budget-friendly."
779,Itel A20,Itel,A20,1700,4.0,Yes,480,800,4,1000,8.0,2.0,0.3,Android,Yes,Yes,Yes,2,Yes,Yes,3749,"Premium quality, outstanding features."
780,Jivi Revolution TnT3,Jivi,Revolution TnT3,2300,4.0,Yes,480,800,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,2550,"Excellent performance, worth the price."
781,Panasonic Eluga I9,Panasonic,Eluga I9,2500,5.0,Yes,720,1280,4,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,5490,"Great battery life, perfect for gaming."
782,Intex Elyt E6,Intex,Elyt E6,4000,5.0,Yes,720,1280,4,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,6729,"Amazing camera quality, a bit expensive."
783,Micromax Bharat 2 Plus,Micromax,Bharat 2 Plus,1600,4.0,Yes,480,800,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,2340,"Good value for money, smooth performance."
784,Micromax Canvas Infinity Pro,Micromax,Canvas Infinity Pro,3000,5.7,Yes,720,1440,8,4000,64.0,20.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,6999,"Battery could be better, decent overall."
785,Kult Ambition,Kult,Ambition,2600,5.0,Yes,720,1280,4,3000,32.0,13.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,3999,Highly recommend for photography lovers.
786,Micromax Bharat 5,Micromax,Bharat 5,5000,5.2,Yes,720,1280,4,1000,16.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,4790,"Affordable and reliable, good screen quality."
787,Intex Elyt Dual,Intex,Elyt Dual,2400,5.0,Yes,720,1280,4,2000,16.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,5295,"Sleek design, average battery life."
788,Gionee F205,Gionee,F205,2670,5.45,Yes,720,1440,8,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,3999,"Perfect for everyday use, budget-friendly."
789,Panasonic P91,Panasonic,P91,2500,5.0,Yes,720,1280,4,1000,16.0,8.0,5.0,Android,Yes,No,Yes,2,Yes,Yes,7990,"Premium quality, outstanding features."
790,Infinix Zero 5,Infinix,Zero 5,4350,5.98,Yes,1080,1920,8,6000,64.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,12999,"Excellent performance, worth the price."
791,Intex Aqua Jewel 2,Intex,Aqua Jewel 2,2500,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,4970,"Great battery life, perfect for gaming."
792,Intex Aqua Lions T1,Intex,Aqua Lions T1,2700,5.2,Yes,480,854,4,1000,8.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,4495,"Amazing camera quality, a bit expensive."
793,Karbonn K9 Smart Eco,Karbonn,K9 Smart Eco,2300,5.0,Yes,480,854,4,1000,8.0,2.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,2999,"Good value for money, smooth performance."
794,Karbonn K9 Smart Yuva,Karbonn,K9 Smart Yuva,2300,5.0,Yes,480,854,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,3800,"Battery could be better, decent overall."
795,Karbonn A1 Indian,Karbonn,A1 Indian,1500,4.0,Yes,480,800,4,1000,8.0,3.2,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,2450,Highly recommend for photography lovers.
796,Billion Capture+,Billion,Capture+,3500,5.5,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,4890,"Affordable and reliable, good screen quality."
797,Zen Admire Unity,Zen,Admire Unity,2300,5.0,Yes,480,854,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,3999,"Sleek design, average battery life."
798,Panasonic Eluga I5,Panasonic,Eluga I5,2500,5.0,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,8990,"Perfect for everyday use, budget-friendly."
799,Itel S21,Itel,S21,2700,5.0,Yes,480,854,4,1000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,4900,"Premium quality, outstanding features."
800,Panasonic Eluga A4,Panasonic,Eluga A4,5000,5.2,Yes,720,1280,4,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,5935,"Excellent performance, worth the price."
801,Redmi Y1 Lite,Xiaomi,Redmi Y1 Lite,3080,5.5,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,5999,"Great battery life, perfect for gaming."
802,Huawei Holly 4 Plus,Huawei,Holly 4 Plus,4000,5.5,Yes,720,1290,4,3000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,14990,"Amazing camera quality, a bit expensive."
803,Karbonn K9 Smart Selfie,Karbonn,K9 Smart Selfie,2300,5.0,Yes,480,854,4,1000,8.0,5.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,3282,"Good value for money, smooth performance."
804,Celkon Smart 4G,Celkon,Smart 4G,1500,4.0,Yes,480,800,4,1000,8.0,3.2,2.0,Android,Yes,Yes,No,2,Yes,Yes,3199,"Battery could be better, decent overall."
805,Sony Xperia R1 Plus,Sony,Xperia R1 Plus,2620,5.2,Yes,720,1280,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,9500,Highly recommend for photography lovers.
806,Sony Xperia R1,Sony,Xperia R1,2620,5.2,Yes,720,1280,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,9990,"Affordable and reliable, good screen quality."
807,Karbonn Titanium Jumbo,Karbonn,Titanium Jumbo,4000,5.0,Yes,720,1280,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,7490,"Sleek design, average battery life."
808,Micromax Bharat-2 Ultra,Micromax,Bharat-2 Ultra,1300,4.0,Yes,480,800,4,512,4.0,2.0,0.3,Android,Yes,Yes,Yes,2,Yes,Yes,2299,"Perfect for everyday use, budget-friendly."
809,Nokia 2,Nokia,2,4100,5.0,Yes,720,1280,4,1000,8.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,6999,"Premium quality, outstanding features."
810,Lephone W15,Lephone,W15,2000,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,3970,"Excellent performance, worth the price."
811,Xolo Era 3,Xolo,Era 3,2500,5.0,Yes,720,1280,4,1000,8.0,5.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,5999,"Great battery life, perfect for gaming."
812,Xolo Era 2V,Xolo,Era 2V,3000,5.0,Yes,720,1280,4,2000,16.0,8.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,7499,"Amazing camera quality, a bit expensive."
813,Xolo Era 3X,Xolo,Era 3X,3000,5.0,Yes,720,1280,4,3000,16.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,8499,"Good value for money, smooth performance."
814,Samsung Galaxy J2 (2017),Samsung,Galaxy J2 (2017),2000,4.7,Yes,540,960,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,6000,"Battery could be better, decent overall."
815,Swipe Elite Pro,Swipe,Elite Pro,2500,5.0,Yes,720,1280,4,3000,32.0,13.0,8.0,Android,Yes,No,Yes,2,Yes,Yes,4399,Highly recommend for photography lovers.
816,BlackBerry Motion,BlackBerry,Motion,4000,5.5,Yes,1080,1920,8,4000,32.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,29999,"Affordable and reliable, good screen quality."
817,Lava Z90,Lava,Z90,2750,5.2,Yes,720,1280,4,3000,32.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,9999,"Sleek design, average battery life."
818,Lava Z80,Lava,Z80,2500,5.0,Yes,720,1280,4,3000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,4725,"Perfect for everyday use, budget-friendly."
819,Lava Z70,Lava,Z70,2500,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,5279,"Premium quality, outstanding features."
820,Comio C2,Comio,C2,4000,5.0,Yes,720,1280,4,2000,16.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,4199,"Excellent performance, worth the price."
821,LG K7i,LG,K7i,2500,5.0,Yes,480,854,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,4321,"Great battery life, perfect for gaming."
822,Ziox Astra Curve 4G,Ziox,Astra Curve 4G,2200,5.0,Yes,480,854,4,2000,16.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,3799,"Amazing camera quality, a bit expensive."
823,Panasonic Eluga I4,Panasonic,Eluga I4,3000,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,No,Yes,5699,"Good value for money, smooth performance."
824,10.or G,10.or,G,4000,5.5,Yes,1080,1920,8,3000,32.0,13.0,16.0,Android,Yes,No,Yes,2,Yes,Yes,6999,"Battery could be better, decent overall."
825,Karbonn K9 Smart Grand,Karbonn,K9 Smart Grand,2300,5.2,Yes,480,854,4,1000,8.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,3490,Highly recommend for photography lovers.
826,Intex Aqua Lions 2,Intex,Aqua Lions 2,2400,5.0,Yes,240,854,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,3890,"Affordable and reliable, good screen quality."
827,Itel S41,Itel,S41,2700,5.0,Yes,720,1280,4,3000,16.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,5410,"Sleek design, average battery life."
828,Intex Aqua S1,Intex,Aqua S1,2300,5.0,Yes,480,854,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,3299,"Perfect for everyday use, budget-friendly."
829,Intex Cloud C1,Intex,Cloud C1,1750,4.0,Yes,480,800,4,1000,8.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,2950,"Premium quality, outstanding features."
830,Gionee X1s,Gionee,X1s,4000,5.2,Yes,720,1280,4,3000,16.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,5699,"Excellent performance, worth the price."
831,Micromax Bharat 4,Micromax,Bharat 4,2500,5.0,Yes,720,1280,4,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,3480,"Great battery life, perfect for gaming."
832,Micromax Bharat 3,Micromax,Bharat 3,2000,4.5,Yes,480,854,1,1000,8.0,5.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,3290,"Amazing camera quality, a bit expensive."
833,Panasonic Eluga Ray 700,Panasonic,Eluga Ray 700,5000,5.5,Yes,1080,1920,8,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,6999,"Good value for money, smooth performance."
834,Panasonic Eluga Ray 500,Panasonic,Eluga Ray 500,4000,5.0,Yes,720,1280,4,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,5891,"Battery could be better, decent overall."
835,Yu Yureka 2,Yu,reka 2,3930,5.5,Yes,1080,1920,8,4000,64.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,13999,Highly recommend for photography lovers.
836,Intex Aqua 5.5 VR+,Intex,Aqua 5.5 VR+,2800,5.5,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,4799,"Affordable and reliable, good screen quality."
837,InFocus Snap 4,InFocus,Snap 4,3000,5.2,Yes,720,1280,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,6195,"Sleek design, average battery life."
838,10.or E,10.or,E,4000,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,4999,"Perfect for everyday use, budget-friendly."
839,Lenovo K8,Lenovo,K8,4000,5.2,Yes,720,1280,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,7040,"Premium quality, outstanding features."
